Problema,n,K,m,Iter,|LRC|,z,S,CPU
max_div_20_2.txt,20,2,2,10,3,2.185785406500911,"{[6.84 4.82], [3.47 9.43], [5.43 5.9 ]}",0.03807210000013583
max_div_20_2.txt,20,2,2,20,2,2.1029959564874554,"{[5.36 7.06], [8.67 3.17], [5.43 5.9 ]}",0.07302329999947688
max_div_20_2.txt,20,2,2,20,3,2.016463342037605,"{[5.58 5.46], [1.16 4.47], [5.43 5.9 ]}",0.07355769999958284
max_div_20_2.txt,20,2,3,10,2,2.185785406500911,"{[6.84 4.82], [3.47 9.43], [5.43 5.9 ]}",0.03476290000071458
max_div_20_2.txt,20,2,3,10,3,2.1029959564874554,"{[5.36 7.06], [8.67 3.17], [5.43 5.9 ]}",0.03591659999983676
max_div_20_2.txt,20,2,3,20,2,2.016463342037605,"{[5.58 5.46], [1.16 4.47], [5.43 5.9 ]}",0.06854529999873193
max_div_20_2.txt,20,2,3,20,3,2.0657794241546505,"{[5.36 7.06], [1.97 3.5 ], [5.43 5.9 ]}",0.07113790000039444
max_div_20_2.txt,20,2,4,10,2,2.528908129690135,"{[7.19 6.2 ], [0.63 5.96], [5.43 5.9 ]}",0.03733680000004824
max_div_20_2.txt,20,2,4,10,3,2.1029959564874554,"{[5.36 7.06], [8.67 3.17], [5.43 5.9 ]}",0.037057600000480306
max_div_20_2.txt,20,2,4,20,2,2.016463342037605,"{[5.58 5.46], [1.16 4.47], [5.43 5.9 ]}",0.07253209999907995
max_div_20_2.txt,20,2,4,20,3,2.1447151463797223,"{[5.36 7.06], [1.16 4.47], [5.43 5.9 ]}",0.07285270000102173
max_div_20_2.txt,20,2,5,10,2,2.1029959564874554,"{[5.36 7.06], [8.67 3.17], [5.43 5.9 ]}",0.038224100000661565
max_div_20_2.txt,20,2,5,10,3,2.1029959564874554,"{[5.36 7.06], [8.67 3.17], [5.43 5.9 ]}",0.03735600000072736
max_div_20_2.txt,20,2,5,20,2,2.016463342037605,"{[5.58 5.46], [1.16 4.47], [5.43 5.9 ]}",0.0701948000005359
max_div_20_2.txt,20,2,5,20,3,2.0657794241546505,"{[5.36 7.06], [1.97 3.5 ], [5.43 5.9 ]}",0.06867469999997411
max_div_20_3.txt,20,3,2,10,2,3.1461768304927125,"{[7.39 2.44 5.52], [0.83 7.06 3.34], [4.84 9.69 4.9 ], [3.86 6.33 4.46]}",0.05218080000122427
